date,ch_area,disk_median
2013-04-28,0.0,318.5
2013-04-29,0.10034,320.94
2013-04-30,0.00375,334.62
2013-05-01,0.05505,336.19
2013-05-02,0.07506,329.5
2013-05-03,0.12227,320.56
2013-05-04,0.0282,331.06
2013-05-05,0.00021,329.88
2013-05-06,0.01221,332.0
2013-05-07,0.0153,323.06
2013-05-08,0.01288,335.31
2013-05-09,0.05136,333.75
2013-05-10,0.04062,194.19
2013-05-11,0.00021,310.81
2013-05-12,0.00015,318.31
2013-05-13,0.0318,332.56
2013-05-14,0.03302,361.41
2013-05-15,0.0,395.25
2013-05-16,0.04436,396.75
2013-05-17,0.0,405.0
2013-05-18,0.0,379.38
2013-05-19,0.02415,354.38
2013-05-20,0.08061,317.06
2013-05-21,0.04747,299.62
2013-05-22,0.05419,296.94
2013-05-23,0.08216,294.88
2013-05-24,0.12254,313.06
2013-05-25,0.08738,314.12
2013-05-26,0.02235,319.69
2013-05-27,0.0,311.53
2013-05-28,0.00796,305.94
2013-05-29,0.14943,309.38
2013-05-30,0.30471,317.06
2013-05-31,0.04077,318.0
2013-06-01,0.02306,306.25
2013-06-02,0.0025,303.44
2013-06-03,0.01152,315.06
2013-06-04,0.07457,316.94
2013-06-05,0.11289,313.25
2013-06-06,0.05328,301.12
2013-06-07,0.01507,298.88
2013-06-08,0.0,195.38
2013-06-09,0.0001,314.81
2013-06-10,0.0,328.62
2013-06-11,7e-05,344.81
2013-06-12,3e-05,349.19
2013-06-13,0.00156,341.88
2013-06-14,0.0,324.38
2013-06-15,0.00168,311.19
2013-06-16,0.04935,298.5
2013-06-17,0.01487,272.56
2013-06-18,0.01328,267.38
2013-06-19,0.13479,299.56
2013-06-20,0.19406,309.94
2013-06-21,0.13288,314.56
2013-06-22,0.13059,315.69
2013-06-23,0.10206,307.56
2013-06-24,0.06575,281.75
2013-06-25,0.04754,286.81
2013-06-26,0.16142,293.5
2013-06-27,0.03091,303.19
2013-06-28,0.00105,306.69
2013-06-29,5e-05,310.25
2013-06-30,0.00047,302.06
2013-07-01,0.02089,307.25
2013-07-02,0.12687,300.06
2013-07-03,0.13842,86.0
2013-07-04,0.16709,288.5
2013-07-05,0.0015,297.5
2013-07-06,0.00448,313.44
2013-07-07,0.00136,323.06
2013-07-08,0.00553,326.81
2013-07-09,0.0011,318.62
2013-07-10,0.00627,309.62
2013-07-11,0.0,297.44
2013-07-12,0.0,283.06
2013-07-13,0.0001,271.81
2013-07-14,0.00488,271.12
2013-07-15,0.02035,279.56
2013-07-16,0.07552,301.06
2013-07-17,0.13066,322.12
2013-07-18,0.16811,328.25
2013-07-19,0.16046,326.88
2013-07-20,0.12386,312.44
2013-07-21,0.15527,297.94
2013-07-22,0.08033,288.38
2013-07-23,0.15042,294.12
2013-07-24,0.00078,290.38
2013-07-25,0.01693,294.25
2013-07-26,0.0,286.25
2013-07-27,0.00053,296.38
2013-07-28,0.00251,301.0
2013-07-29,0.00013,291.44
2013-07-30,0.0605,120.25
2013-07-31,0.12642,296.5
2013-08-01,0.04778,295.19
2013-08-02,0.08037,309.94
2013-08-03,0.03236,323.25
2013-08-04,0.00963,348.0
2013-08-05,0.04518,363.12
2013-08-06,0.00028,351.88
2013-08-07,0.0,337.06
2013-08-08,8e-05,318.06
2013-08-09,8e-05,300.69
2013-08-10,0.00158,290.62
2013-08-11,0.00208,100.56
2013-08-12,0.04729,294.94
2013-08-13,0.06945,303.25
2013-08-14,0.1454,304.06
2013-08-15,0.16068,331.19
2013-08-16,0.12704,322.19
2013-08-17,0.08465,319.06
2013-08-18,0.07476,309.75
2013-08-19,0.10378,311.69
2013-08-20,0.01081,307.69
2013-08-21,0.05244,313.62
2013-08-22,0.0617,314.31
2013-08-23,0.07717,314.06
2013-08-24,0.0,304.94
2013-08-25,0.0,291.0
2013-08-26,0.00045,285.38
2013-08-27,0.12442,293.31
2013-08-28,0.09362,278.44
2013-08-29,0.01305,273.44
2013-08-30,0.00124,286.94
2013-08-31,0.0382,295.69
2013-09-01,0.10669,315.56
2013-09-02,0.00132,308.62
2013-09-03,5e-05,286.88
2013-09-04,0.00551,284.62
2013-09-05,0.02951,281.19
2013-09-06,0.03363,264.56
2013-09-07,0.01906,260.62
2013-09-08,0.01357,63.19
2013-09-09,0.00044,267.94
2013-09-10,0.08731,288.0
2013-09-11,0.12953,310.69
2013-09-12,0.06377,321.0
2013-09-13,0.07679,311.19
2013-09-14,0.08505,302.88
2013-09-15,0.00578,300.62
2013-09-16,0.00486,297.62
2013-09-17,0.00673,297.69
2013-09-18,0.01013,296.62
2013-09-19,0.07691,293.12
2013-09-20,0.11722,292.31
2013-09-21,0.00292,299.56
2013-09-22,0.0,309.88
2013-09-23,0.0,315.19
2013-09-24,0.00023,332.88
2013-09-25,0.02919,341.41
2013-09-26,0.01772,353.72
2013-09-27,0.07151,346.69
2013-09-28,0.07212,323.81
2013-09-29,0.02233,298.69
2013-09-30,0.00011,290.38
2013-10-01,0.0,288.81
2013-10-02,2e-05,273.94
2013-10-03,0.00147,404.19
2013-10-04,0.01832,267.0
2013-10-05,0.03393,275.62
2013-10-06,0.02031,285.25
2013-10-07,0.07445,285.62
2013-10-08,0.08295,293.12
2013-10-09,0.03764,292.25
2013-10-10,0.08836,303.62
2013-10-11,0.07374,308.75
2013-10-12,0.06722,90.0
2013-10-13,0.00664,302.81
2013-10-14,0.00452,104.56
2013-10-15,0.0066,305.38
2013-10-16,0.00827,301.19
2013-10-17,0.07867,298.81
2013-10-18,0.07191,304.56
2013-10-19,0.01427,303.06
2013-10-20,0.00143,308.62
2013-10-21,0.00181,318.31
2013-10-22,0.02062,243.69
2013-10-23,0.01999,349.62
2013-10-24,0.00545,172.81
2013-10-25,0.01134,335.75
2013-10-26,0.0042,325.44
2013-10-27,0.00172,317.56
2013-10-28,0.00199,310.25
2013-10-29,0.02794,303.56
2013-10-30,0.00403,301.31
2013-10-31,0.00396,308.25
2013-11-01,0.01466,313.06
2013-11-02,0.01023,226.06
2013-11-03,0.05994,324.44
2013-11-04,0.05885,316.31
2013-11-05,0.00371,320.56
2013-11-06,0.006,317.88
2013-11-07,0.07778,83.19
2013-11-08,0.01534,329.25
2013-11-09,0.0,317.62
2013-11-10,0.00694,312.62
2013-11-11,0.00731,307.88
2013-11-12,0.00297,303.5
2013-11-13,0.15365,59.44
2013-11-14,0.1418,106.06
2013-11-15,0.1038,338.25
2013-11-16,0.00932,374.06
2013-11-17,0.00673,380.25
2013-11-18,0.0,395.56
2013-11-19,0.00267,406.88
2013-11-20,0.00091,405.12
2013-11-21,0.01252,374.0
2013-11-22,0.01103,348.62
2013-11-23,0.0,326.5
2013-11-24,0.00165,297.62
2013-11-25,0.01741,290.0
2013-11-26,0.00349,290.75
2013-11-27,0.00764,289.0
2013-11-28,0.00067,288.88
2013-11-29,0.0,300.19
2013-11-30,0.00074,312.81
2013-12-01,0.01686,330.62
2013-12-02,0.00289,326.38
2013-12-03,0.02582,332.12
2013-12-04,0.11493,332.19
2013-12-05,0.03864,334.94
2013-12-06,6e-05,328.38
2013-12-07,0.0,309.81
2013-12-08,3e-05,306.44
2013-12-09,0.00014,322.75
2013-12-10,0.03059,344.81
2013-12-11,0.10338,365.38
2013-12-12,0.2982,386.19
2013-12-13,0.13467,382.0
2013-12-14,0.06308,390.38
2013-12-15,0.0135,376.0
2013-12-16,0.00819,375.5
2013-12-17,0.00135,355.44
2013-12-18,0.00104,344.75
2013-12-19,0.00058,319.94
2013-12-20,0.00058,105.06
2013-12-21,0.05238,309.19
2013-12-22,0.13672,321.44
2013-12-23,0.08361,68.5
2013-12-24,0.11996,330.38
2013-12-25,0.03891,319.69
2013-12-26,0.003,311.12
2013-12-27,0.0,306.69
2013-12-28,0.00351,310.19
2013-12-29,0.02259,313.69
2013-12-30,0.06792,316.38
2013-12-31,0.14464,320.5
2014-01-01,0.11952,315.88
2014-01-02,0.00412,325.19
2014-01-03,0.0,317.62
2014-01-04,0.00014,316.75
2014-01-05,0.00051,92.25
2014-01-06,0.00261,337.06
2014-01-07,0.01068,349.25
2014-01-08,0.04169,347.0
2014-01-09,0.26523,372.25
2014-01-10,0.24272,370.31
2014-01-11,0.05846,353.38
2014-01-12,0.04,343.5
2014-01-13,0.04262,334.0
2014-01-14,0.06556,332.75
2014-01-15,0.02784,337.38
2014-01-16,0.00023,328.88
2014-01-17,0.0,317.0
2014-01-18,0.05828,317.88
2014-01-19,0.1205,327.78
2014-01-20,0.02479,330.75
2014-01-21,0.01447,332.5
2014-01-22,0.01512,331.38
2014-01-23,0.00919,340.44
2014-01-24,0.0074,352.38
2014-01-25,0.02218,337.81
2014-01-26,0.01437,336.12
2014-01-27,0.00293,306.25
2014-01-28,0.00354,142.69
2014-01-29,0.0,281.94
2014-01-30,0.00013,279.06
2014-01-31,0.00859,285.25
2014-02-01,0.00703,299.25
2014-02-02,0.00033,149.81
2014-02-03,6e-05,306.5
2014-02-04,0.0,314.69
2014-02-05,0.0897,324.19
2014-02-06,0.23708,336.44
2014-02-07,0.09396,136.5
2014-02-08,0.09217,328.94
2014-02-09,0.04286,319.44
2014-02-10,0.03815,87.81
2014-02-11,0.02149,315.38
2014-02-12,0.03,155.0
2014-02-13,0.06189,53.38
2014-02-14,0.08583,313.5
2014-02-15,0.07509,312.94
2014-02-16,0.04364,310.56
2014-02-17,0.02345,301.19
2014-02-18,0.03686,295.44
2014-02-19,0.03833,302.75
2014-02-20,0.00972,310.69
2014-02-21,0.01388,299.69
2014-02-22,0.00316,300.94
2014-02-23,0.0,298.94
2014-02-24,0.00549,290.81
2014-02-25,0.09203,293.94
2014-02-26,0.02825,317.44
2014-02-27,0.0406,339.16
2014-02-28,0.08875,364.25
2014-03-01,0.04309,374.88
2014-03-02,0.0,89.31
2014-03-03,0.0,72.44
2014-03-04,0.00327,378.56
2014-03-05,0.09556,387.94
2014-03-06,0.32157,374.06
2014-03-07,0.13438,363.94
2014-03-08,0.05079,344.81
2014-03-09,0.04833,187.56
2014-03-10,0.06881,318.25
2014-03-11,0.00467,320.25
2014-03-12,0.02693,318.25
2014-03-13,0.1007,330.69
2014-03-14,0.12479,326.44
2014-03-15,0.01861,330.06
2014-03-16,0.0,327.06
2014-03-17,0.00019,333.75
2014-03-18,0.0012,330.19
2014-03-19,0.00032,352.12
2014-03-20,0.04314,366.56
2014-03-21,0.03157,366.78
2014-03-22,0.00437,373.94
2014-03-23,0.0,350.81
2014-03-24,0.00042,349.88
2014-03-25,0.02049,363.81
2014-03-26,0.00427,380.25
2014-03-27,0.01692,390.56
2014-03-28,0.07204,387.94
2014-03-29,0.04849,12.75
2014-03-30,0.01758,341.56
2014-03-31,2e-05,351.94
2014-04-01,0.0,345.75
2014-04-02,0.03278,348.75
2014-04-03,0.03624,359.44
2014-04-04,0.02948,367.5
2014-04-05,0.0005,372.62
2014-04-06,0.00293,355.25
2014-04-07,0.00039,343.94
2014-04-08,0.02265,340.44
2014-04-09,0.14176,324.06
2014-04-10,0.21902,318.62
2014-04-11,0.13812,313.75
2014-04-12,0.05589,301.69
2014-04-13,0.02045,303.88
2014-04-14,5e-05,186.06
2014-04-15,0.00031,325.25
2014-04-16,0.02033,330.69
2014-04-17,0.02003,354.94
2014-04-18,0.01613,350.88
2014-04-19,0.01239,372.06
2014-04-20,0.00883,380.0
2014-04-21,0.00122,362.19
2014-04-22,0.0,334.56
